6|nl,1155
eigenlijk|nl,1153
kangen|nl,1151
schuilen|nl,1147
twee|nl,1146
ofzo|nl,1145
misschien|nl,1140
geweldig|nl,1134
minuut|nl,1126
ma|nl,1124
dood|nl,1121
bedanken|nl,1121
it|nl,1113
open|nl,1111
pff|nl,1107
daarna|nl,1106
regen|nl,1100
.....|nl,1097
snappen|nl,1088
elkaar|nl,1082
september|nl,1080
e|nl,1077
sturen|nl,1077
kapot|nl,1075
m|nl,1067
@|nl,1063
vergeten|nl,1061
volgers|nl,1060
lachen|nl,1059
moment|nl,1058
zoveel|nl,1057
verder|nl,1056
sommige|nl,1055
bezig|nl,1050
tv|nl,1047
tijdens|nl,1047
naam|nl,1047
volgens|nl,1036
vriendin|nl,1029
huiswerk|nl,1023
lollen|nl,1020
@gtalotto|nl,1019
ooit|nl,1018
@sorrynotsoorry|nl,1015
stoppen|nl,1006
raar|nl,1005
weinig|nl,999
stuk|nl,997
miss|nl,997
jammer|nl,989
maand|nl,987
vaak|nl,986
auto|nl,985
birthday|nl,985
broer|nl,985
gesprek|nl,984
:o|nl,982
video|nl,973
online|nl,971
^^|nl,967
ya|nl,966
fuck|nl,962
winnaar|nl,961
paar|nl,960
nummer|nl,951
geld|nl,947
koud|nl,946
muziek|nl,942
euro|nl,936
top|nl,933
20|nl,932
zondag|nl,931
les|nl,925
~|nl,924
jouw|nl,914
meid|nl,913
bekennen|nl,903
buiten|nl,901
dankjewel|nl,900
vol|nl,896
yes|nl,895
moeder|nl,889
vertellen|nl,889
idee|nl,887
succes|nl,885
wtf|nl,876
hoofd|nl,874
#vacature|nl,871
natuurlijk|nl,868
ver|nl,868
iphone|nl,866
brengen|nl,866
woord|nl,866
checken|nl,863
probleem|nl,859
wauw|nl,858
serieus|nl,856
trainen|nl,855
ie|nl,854
vanmiddag|nl,854
bedoelen|nl,852
bus|nl,852
normaal|nl,851
@433nl|nl,850
fan|nl,849
-_-|nl,846
druk|nl,846
baby|nl,844
xxx|nl,843
wereld|nl,843
precies|nl,843
alweer|nl,842
genoeg|nl,842
vervelen|nl,836
pakken|nl,834
+|nl,828
vast|nl,828
